code	name	koord						datum							ubre	ubli	uverre	vertypre	uverli	vertypli	ugefaere	ugefaeli	baumre	buschre	wiesere	waldre	pflre	erdere		wurzelre	bewverre		baumli	buschli	wieseli	waldli	pflli	erdeli		wurzelli		bewverli	tiefe	sicht	bgefaell	wstand	schatten	bbreite	bvar	ssteinkl	ssteinmi	ssteingr	sschlamm	swurzeln	ssand	swpfl	spflrest	sver	durchg		verstdic	vtbw	vtsteimi	vtsteikl	vtueberu	vtwurz	vtwpfl	vtpflmat	wtemp	ph	leitf	o2gehalt	o2saett	v	ephemero															szeit	sdauer	sstrecke	sucher	art	anzm	anzw	anzunbes	bem	exuvtot	anztotal
11F	Witibach	598 500 / 225 750			Hochnebel 100 % W., kalt, Sonne drückt	Hochnebel, sonniger	bedeckt, neblig, fast Vollmond	15.11.1997							1	0.5	0	0	100	Betonquader	2	4	0	0	0		100	0		0	0		0	0	40		30	0		0		30	0.4	1	1	3	0	3.5	2	0	20	0	40	0	0	0	0	40	3		3	0	50		0	0		50	9.7	7.7	422	12.8	118	0.11	15.11.			**					Fische (=?) -15 cm 		x	x	x			19.55	15	10	1.5	0	0	0	0	"Schlechte Suchmöglichkeiten; zu tief um Steine zu drehen, Schlamm"		0
15C	?	604 200 / 227 000			"morgens4mm Regen; Tag unbeständig 100% W."	sonnig, 5% W.	dunstig, klar, fast Vollmond	23.7.1997							2	2.5	100	St. & Betongitter	100	St. & Betongitter	3	2	5	40	55		0	0		0	0		5	85	10		0	0		0		0	0.2	2	1	3	80	0.5	2	30	0	0	30	0	0	40	0	100	2		2	0	0		0	0		100	15.6	7.3	512	6.7	73	0.43									Pachy drilus *** Ruderwanzen *				x			21.25	10	40	2	0	0	0	0	"kl. Drainage- Mündungen -> rötliche Ablagerungen; bei E-Probe blauer Film auf Wasser"		0
22Ar	Linglisbach	597 450 / 223 475			10 % W., heiss	morgens Gewitter, 10 % W., heiss	trocken	30.7.1997							2.5	A	100	BW	A	A	4	A	0	50	0		0	0		0	50		A	A	A		A	A		A		A	0.2	1	1	5	100	A	?	5	0	50	0	0	30	30	20	50	A		4	100	0		0	0		0	?	?	?	?	?	?											x	x				22.25	10	3	1	0	0	0	0	"Suche erschwert; zu tief"		0
22C	Linglisbach	598 300 / 222 750			0 % Wolken, warm	etwas R. sonst 0% W., warm, vor 2 d 15mm R.	klar	28.7.1997							1	0.5	20	Schwellen?	20	? Schwellen	2	4	0	0	5		0	95		0	0		0	0	5		0	95		0		0	0.04	3	3	3	90	1	4	50	30	5	0	0	10	0	5	0	4		2.5	0	50		10	0		40	14	7.9	540	11.4	116	0.17	28.7.	***													x	23.4	10	20	2	0	0	0	0	lehmige Ufer, Mischwald, alle 5m Rundholz- und künstliche Schwellen		0
23C	Rütibach	597 300 / 222 550			morgens Hochnebel, ca. 10°C ab 14 Uhr Sonne	100% W., Nieselregen, ziemlich kalt	Vollmond, klar, wärmer	17.10.1997							0	0.5	100	70%Betonm. 30%gr.Steine	100	70%Betonm. 30%gr.Steine	5	5	0	20	20		0	0		0	60		0	0	20		0	0		0		80	0.1	3	3	2	20	2.5	4	10	55	0	0	0	10	30	5	0	4		2.5	0	50		40	0		10	9.7	?	586	13.5	125	0.38	17.10.			***					Jungfische		x					24.05	8	20	0	0	0	0	0	Suche wegen z.T, bewegtem Wasser erschwert , brauner Bakterienfilm auf Steinen Messlatte auf 20cm Oben Wasserröhreneinfluss		0
31BS	Zihl	594 400 / 220 150			morgens etwas Nebel, warm, Sonne	morgens etwas Nebel, warm, Sonne	klar	30.9.1997							0	BS	100	Betonmauer überhängend	BS	BS	5	BS	0	0	0		0	0		0	0		BS	BS	BS		BS	BS		BS	BS	BS	1.2	3	1	3	0	BS	1	85	10	0	0	0	0	0	5	0	BS		1	0	80		20	0	0	0	18.4	8.4	295	9.8	108	0	k					*		*	1 gr. Cyprinidae (evtl. Alet)						x	23.25	5	10	2	0	0	0	0	nur knapp Seegrund erkannt, nur bei vielen, bewegenden welche gesehen / Futterplatz		0
36BS	Mülibach	578 150 /210 800			30% W. heiss, sonnig	50% W. 1x kurz Regen, sonst sonnig	warm, eher klar	4.8.1997							1	BS	100	Sandstrand	BS	BS	1	BS	0	0	0		0	0		0	100		BS	BS	BS		BS	BS		BS	BS	BS	0.2	3	1	2	5	BS	1	70	0	0	0	0	30	0	0	0	BS		1	0	100		0	0	0	0	21.4	7.9	350	11	135	st	k			**											x	22.4	10	20	1	0	0	0	0	Strandbad 2x gesucht		0
29D	Orvine	582300 / 223 050			morgens etwas Nebel, warm, Sonne	morgens etwas Nebel, warm, Sonne	klar	30.9.1997							0.2	0.1	0	0	5	Steinmauer	1	1	30	30	20	0	0	20		0	0		5	0	20	0	0	55		0	55	0	0.1	3	2	3	90	1.3	5	10	80	0	0	0	10	0	10	0	5		4	0	70		20	0	0	10	14.3	7.9	531	8.1	85	0.14					*				Jungfische, Grasfrosch						x	21.55	7	10	2	AP	5	6	0	extrem viele Krebse		11
36C	Mülibach	578 200 / 210 350			30% W. heiss, sonnig	50% W. 1x kurz Regen, sonst sonnig	warm, eher klar	4.8.1997							1	0.5	0	0	0	0	4	4	10	0	90	0	0	0		0	0		5	5	90	0	0	0		0	0	0	0.1	2	2	4	30	1.5	3	30	30	0	0	0	40	0	0	0	3		4	0	50		50	0	0	0	16.1	7.4	581	9.9	105	0.3	15.10.	**	**	*					W-Käfer **, durchsichtiger Wurm, 		x			Uferpfl.		21.45	35	20	2	AP	3	1	0	sehr gut getarnt, bach weiter oben aus zwei Quellen-> ein zweig ging ein		4
41A	Gräntschelbach	590 700 / 214 400			6.8.	z.T.40% W., heiss, abends heftiges Gewitter	klare Sternennacht	6.8.1997							0.5	0	0	0	0	0	5	1	5	0	0	90	0	0		5	0		5	0	0	90	0	0		5	0	0	0.1	3	2	3	90	1.5	4	10	60	0	0	0	10	0	20	0	3		4	0	50		0	20	0	30	15.9	7.5	597	10	107	0.25	1.11.	**							kl. Fische, Egel						x	22.2	15	10	2	AP	1	3	0	 1 m tot,1 w Exuvie, Fund: eher langsam fliessend ( auch mehr Verstecke) Rückzug-> Schlamm, mündet in Lyssbach	"1;1"	4
41B	Gräntschelbach	592 100 / 215 100			ca. 7°C , sonnig, morgens Reifen	ähnlich		1.11.1997							0.2	0.2	0	0	0	0	4	4	0	0	100	0	0	0		0	0		5	0	95	0	0	0		0	0	0	0.2	2	2	2	90	1	2	0	0	0	0	0	0	0	100	0	3		5	0	0		0	0	0	100	kalt	?	?	?	?	?	1.11.														x	17	1	1	1	AP	0	1	0	bei E-Proben-Nahme, war im Laub versteckt		1
43B	Chalchgraben	592 750 / 216 550			6.8.	z.T.40% W., heiss, abends heftiges Gewitter	klare Sternennacht	6.8.1997							0.5	0	0	0	0	0	4	1	25	20	15	20	0	15		5	0		0	15	60	15	0	10		0	0	0	0.05	3	2	3	95	1.5	4	20	50	0	10	0	10	5	5	0	1		4	0	50		20	0	0	30	16.9	8	501	9.7	107	0.13		**							Jungfische *, Fröschli,   Larven (?)	x						24.1	15	15	2	AP	3	5	0	Laub & Schlamm 15 cm tief, Hindernis auf Fotos		8
46A	Hohschwerzibach	596 400 / 212 600			morgens Hochnebel, ca. 10°C ab 14 Uhr Sonne	100% W., Nieselregen, ziemlich kalt	Vollmond, klar, wärmer	17.10.1997							3	2	0	0	0	0	4	4	20	20	0	60	0	0		0	0		20	30	0	50	0	0		0	0	0	0.25	3	2	2	90	2.5	5	0	50	0	20	20	0	0	10	0	4		5	0	50		0	50	0	0	11.8	?	667	10.5	102	0.15	1.11.			***		*			W.-Käfer						x	20	20	20	2	AP	2	1	1	"schöner Waldbach; Schwellen natürlich"		4
78A	Moosbach	624 950 / 218 950			warm, morgens bedeckt, gegen Mittag sonniger	warm, sonnig, Föhn, abends bewölkter	trocken, bewölkt, wenig Mond	8.10.1997							1	0.2	50	Weidengeflecht, zugew.	50	Weidengefl. zugew.	5	5	0	50	50	0	0	0		0	25		0	10	90	0	0	0		0	0	25	0.1	2	3	3	50	1	5	10	80	0	0	0	5	60	5	0	5		5	0	0		100	0	0	0	13.1	?	371	10.2	104	0.17	8.10.	*	***			*					x	x				21	15	50	1	AP	2	2	0	"weniger Weide, mehr Wiese & Weg ; weiter unten noch geschaut -> keine ; Sicht schlecht wegen bewegtem Wasser"		4
1 B	Obach	607 150 / 228 200			sonnig, kl. Gewitter	sonnig, windig, leicht bew.	trocken	10.7.1997							2	1	100	Betonmauer	100	Betonmauer	5	5	35	5	0	0	0	0		0	60		20	15	0	0	0	0		0	0	65	1.5	3	1	3	75	5	1	5	0	0	60	0	0	0	5	30	5		2	0	0		50	0	0	50	11.6	8.1	407	10.2	97	0.07		***	*	**					1 Grundel						x	22.45	50	50	1.5	OL	0	2	0	Parallelkanal / Funde nur im Mündungsbereich		2
3A	Brunngraben	606 100 / 227 300			gewittrig, sonnig-schwül 60-80% W.	?	Regen Gewitter	17.7.1997							A	2.5	A	A	90	BW	A	1	A	A	A	0	A	A	A	A	A		30	40	25	0	0	0		0	0	15	A	3	1	4	20	A	5	0	0	100	0	0	0	100	0	0	A		3	100	0		0	0	0	0	18.5	8.1	308	9.6	108	langsam				*					Egli **		x	Schlammsegge ?				24.2	10	5	2	OL	1	0	7			8
3B	Brunngraben	606 145 / 227 305			gewittrig, sonnig-schwül 60-80% W.	?	Regen Gewitter	17.7.1997							3	2.5	50	BW	0	0	3	3	0	0	10	0	0	0		0	90		75	0	5	0	0	0		0	0	20	0.5	1	1	4	70	2	1	0	0	60	20	0	0	0	20	0	1		4	100	0		0	0	0	0	18.6	7.4	585	8.2	92	0	13.10.								1 s. gr. Fisch						x	24	10	7	2	OL	1	0	2	Substrat h. Pumpe: 40% Erde 60% Laub & Pfl.reste		3
5A	Bärenbach	605 275 / 227 225			Dauer-Niesel m. Aufh. 90% W.	gewittrig, sonnig, schwül 60-80% W.	?	18.7.1997							A	?	A	A	100	BW	A	?	A	A	A	0	A	A		A	A		?	?	?	0	?	?		?	0	x	A	3	1	4	?	A	A	0	0	x	0	0	0	0	0	0	A		4	100	0		0	0	0	0	?	?	?	?	?	?																15.3	10	5	1	OL	0	1	0	"sonst weggelassen;Einfluss unter Wasser oben Pumpwerk, nicht überwindbar, Betonschale, rausgeputzt"		1
6A 	Bülletsbach	604 275 / 228 150			Dauer-Niesel m. Aufh. 90% W.	gewittrig, sonnig, schwül 60-80% W.	?	18.7.1997							A	1	A	A	50	BW	A	5	A	A	A	0	A	A		A	A		75	0	0	0	0	25		0	0	0	A	3	1	3	30	A	1	0	30	30	10	10	20	0	0	0	A		5	70	20		0	10	0	0	18.1	8	301	9.8	109	0.19					*		**		1 Wels							22.5	20	6	1	OL	1	1	18			20
6B	Bülletsbach	604 275 / 228 155			Dauer-Niesel m. Aufh. 90% W.	gewittrig, sonnig, schwül 60-80% W.	?	18.7.1997							1.5	2	0	0	0	0	1	5	30	0	0	0	30	40		0	0		100	0	0	0	0	0		0	0	0	1	3	1	3	20	6	3	0	0	20	50	10	0	0	20	0	5		3	0	80		0	20	0	0	17	8.2	344	9.6	106	0				***					Schnecken			x				22.45	15	5	1	OL	1	0	1	Fund 2m vor Aaremündung		2
7A	Chrüzligraben	603 400 / 227 925			 Sonne, schwül, Regen 2mm	erst bedeckt, Sonne, wenig Regen (R.)	trocken	14.8.1997							A	0	A	A	100	Steg, Steinm.	A	5	A	A	A	0	A	A		A	A		5	25	10	0	0	0		0	0	60	1.1	3	1	3	5	A	1	0	10	90	0	0	0	60	0	0	A		5	100	0		0	0	0	0	20.5	7.7	288	9	105	stehend				**			**		1 Brachsme	 	x 	 				21.25	10	12	2	OL	1	3	20			23
7B	Chrüzligraben	603 400 / 227 925			 Sonne, schwül, Regen 2mm	erst bedeckt, Sonne, wenig Regen	trocken	14.8.1997							0	0	100	Holz m. Stangen	100	Holz m. Balken	5	5	0	0	0	0	0	0		0	100		0	0	0	0	0	0		0	0	100	0.5	1	1	2	95	2.5	1	0	10	65	25	0	0	0	0	0	5		3	80	20		0	0	0	0	20.6	7.6	288	7.5	89	0					*		***		Brachsmen (-30cm) * 						x	21.45	15	15	1	OL	1	1	16	"Funde v. a. im Mündungsbereich; weiter hinten Sicht schlecht, aber auch gesehen"		18
11Ar	Witibach	599 350 / 225 540			wechselhaft m. Regen 50-80% W.	mehr Regen (Niesel-)	eher trocken	20.7.1997							A	2	A	A	100	BW	A	3	A	A	A	0	A	A		A	A		30	0	30	0	0	0		0	0	40	A	2	1	4	30	A	2	5	10	80	0	0	0	0	5	0	A		4.5	100	0		0	0	0	0	17.8	8.1	307	9.9	109	0.09							*?		Jungfische ***			x				23.15	15	15	2	OL	0	0	4			4
11Al	Witibach	599350 / 225 550			wechselhaft m. Regen 50-80% W.	mehr Regen (Niesel-)	eher trocken	20.7.1997							A	3	A	A	100	BW	A	2	A	A	A	0	A	A		A	A		0	0	0	0	0	0		0	0	100	A	2	1	5	30	A	2	0	30	70	0	0	0	0	0	0	A		3	70	30		0	0	0	0	17.3	8.1	300	10	110	stehend									Jungfische ***						x	24	15	8	2	OL	0	0	1	Wasserstand: 30 cm Gras unter Wasser		1
11B	Witibach	599 350 / 225 550			wechselhaft m. Regen 50-80% W.	mehr Regen (Niesel-)	eher trocken	20.7.1997							2.5	?	5	BW	?	?	1	3	30	40	20	0	10	0		0	0		5	40	0	0	55	0		0	0	0	?	1	1	4	60	5	2	0	0	5	85	5	0	0	5	0	5		2	50	0		0	50	0	0	17.9	8.2	308	10.3	116	0		*							Wasserkäfer *						x	23.3	25	10	2	OL	1	0	1			2
15A	?	604 650 / 227 500			"morgens4mm Regen; Tag unbeständig 100% W."	sonnig, 5% W.	dunstig, klar, fast Vollmond	23.7.1997							2	A	100	BW	A	A	2	A	10	30	10	0	0	0		0	50		0	0	0	0	0	0		0	0	0	A	2	1	4	20	A	1	0	0	100	0	0	0	20	0	0	A		4.5	100	0		0	0	0	0	17.7	8.1	304	11.3	125	0.17									"kl. Elrizen ***; kl. ? (2cm) *** Schnecken*"						x	22	20	15	2	OL	0	1	11	2 Schiffstege		12
15B	?	604 150 / 226 950			"morgens4mm Regen; Tag unbeständig 100% W."	sonnig, 5% W.	dunstig, klar, fast Vollmond	23.7.1997							2	1.5	100	Steinpl. & Beton	100	Steinpl. & Beton	3	5	20	65	0	0	0	5		0	10		30	50	0	0	0	10		0	0	10	?	1	1	4	70	3	1	10	30	0	5	5	0	0	0	50	5		2	0	50		0	50	0	0	17.6	7.7	313	11.1	121	0									1Wasserskorpion							22.45	10	5	2	OL	0	1	0	Fund: linkes Ufer unter Dachschindel, gleich bei Aare		1
22Al	Linglisbach	223 400 / 597 850			0 % Wolken, warm	etwas R. sonst 0% W., warm, vor 2 d 15mm R.	klar	28.7.1997							2.5	A	100	BW	A	A	4	A	30	45	5	0	0	0		0	20		A	A	A	0	A	A		A	0	A	A	1	1	5	100	A	1	5	0	70	0	0	5	0	20	70	A		4	100	0		0	0	0	0	18	8.2	301	11.3	123	st.									Jungfische (=?) 						x	24	10	3	2	OL	0	0	1	"schlechte Suche; Moos & tief -> Sicht schlecht"		1
22B	Linglisbach	587 850 / 223 350			0 % Wolken, warm	etwas R. sonst 0% W., warm, vor 2 d 15mm R.	klar	28.7.1997							1.5	2	5	BW	5	BW	5	4	50	10	20	0	0	20		0	0		30	60	10	0	0	0		0	0	0	?	1	1	5	95	2	2	0	10	40	0	15	0	0	5	0	5		3	80	20		0	0	0	0	16.7	7.7	440	10.8	115	0.02				***					Zuckmückenl., Fliegen.l., Schn.						x	22.25	15	8	1	OL	1	0	0	"Fund in Steinen der Uferbefestigung, Suche erschwert; Pfl.reste, rutschig, tief, li nicht zugänglich"		1
23A	Rütibach	597 450 / 223 475			10 % W., heiss	morgens Gewitter, 10 % W., heiss	trocken	30.7.1997							3	A	0	0	A	A	1	A	10	10	40	0	0	0		0	0		A	A	A	0	A	A		A	0	A	A	2	1	5	20	A	1	55	15	0	0	0	0	0	30	0	A		2	0	0		0	0	0	100	18.3	8.3	326	10.1	108	?									Jungfische (=?) *						x	23	10	10	2	OL	0	0	1	sonst Aare 15 m weiter draussen (ca. 1.2m Hochwasser heute), viele Steine m. vielen Krebsen		1
23B	Rütibach	597 400 / 223 400			11 % W., heiss	morgens Gewitter, 10 % W., heiss	trocken	30.7.1997							2	1.5	20	Betonwand Brücke	20	Betonwand Brücke	3	3	70	0	10	0	20	0		0	0		20	80	0	0	0	0		0	0	0	1.5	1	1	5	50	8	3	35	30	0	0	0	30	0	5	0	5		?	0	?		0	?	0	?	18.4	8	535	10.5	117	?	13.10.	*							Käfer m. 1 Schwanzfaden						x	23.15	10	10	2	OL	0	0	1	"bis 25 m von Mündung weg an versch. Stellen gesucht; viel Geschiebe; ca. 1m Hochwasser"		1
31A	Zihl	586 025 / 218 750			schwül, 1x kurz Regen, z.T. wolkig	bedeckt, drückend, wenig Sonne	?	3.8.1997							A	1	A	A	100	BW	A	2	A	A	A	0	A	A		A	A		5	75	10	0	0	10		0	0	5	A	3	1	4?	5	A	1	0	10	90	0	0	0	0	0	0	A		4.5	95	0		5	0		0	18.2	7.6	307	9.7	107	A	k														x	1.15	7	7	2	OL	0	4	46	1 Exuvie		50
31BE	Zihl	584 550 / 219 950			morgens etwas Nebel, warm, Sonne	morgens etwas Nebel, warm, Sonne	klar	30.9.1997							0	kS	100	Betonmauer & Treppe	kS	kS	5	kS	0	0	0	0	0	0		0	100		kS	kS	kS	0	kS	kS		kS	kS	kS	2.5	3	1	4	5	20	2	5	90	5	100	0	0	5	0	0	5		2	40	0		0	0	60	0	17.9	8.3	287	8.9	99	0						*	***		Muscheln					Wasserpest		23.4	13	15	2	OL	2	1	12	"Treppe 6m breit 2m lang / viele Schiffe; 2 Stege"		15
31B	Zihl	586 025 / 218 750			schwül, 1x kurz Regen, z.T. wolkig	bedeckt, drückend, wenig Sonne	?	3.8.1997							7	kS	100	BW	kS	kS	3	kS	0	5	40	0	0	50		0	5		kS	kS	kS	0	kS	kS		kS	kS	kS	2	3	1	?	30	40	1	5	30	65	0	0	0	0	0	0	5		5	70	30		0	0	0	0	17.8	7.6	312	10	108	0.03	k														x	24.55	5	8	2	OL	1	3	30	"extrem viele Krebse, Rückstau dem Ufer nach; Schatten = Brücke"		15
31C	Zihl	585 050 /219 600			schwül, 1x kurz Regen, z.T. wolkig	bedeckt, drückend, wenig Sonne	?	3.8.1997							kS	1.5	kS	kS	100	BW	kS	5	kS	kS	kS	kS	kS	kS		kS	kS		40	0	10	0	0	0		0	0	50	tief	3	1	4	50	30	1	20	30	50	0	0	0	0	0	0	5		4	80	0		20	0	0	0	17.7	7.6	312	10.1	113	0	k								Jungfische ** gr. Fische gestreift **						x	24.15	10	10	2	OL	2	0	6	1 Exuvie / stark befahren / re Ufer nicht erreichbar, bebaut wenig Garten	1	8
33A	Leugene	596 500 / 223 350			z.T. bedeckt, heiss, sonnig	70% bedeckt sonst sonnig, schwül	klar	8.8.1997							A	1.5	A	A	100	BW	A	2	A	A	A	0	A	A		A	A		0	0	0	0	0	0		0	0	100	A	3	1	2	0	A	2	5	0	95	0	0	0	0	0	0	A		4.5	100	0		0	0	0	0	19	8.2	297	9.3	105	?	k								5 cm Fischli in Schwärmen (Grundeln?)					flutendes Gras		23.45	10	15	2	OL	1	1	13	Pegelstand 67 -> Algen aus Wasser ragend		15
33B	Leugene	596 500 / 223 350			z.T. bedeckt, heiss, sonnig	70% bedeckt sonst sonnig, schwül	klar	8.8.1997							1	1	50	BW	50	BW	3	1	0	35	0	0	0	35		0	30		35	0	0	0	0	35		10	0	20	2	2	1	3	20	6	3	?	?	5	?	?	?	?	?	0	5		5	90	0		0	10	0	0	17.3	7.7	385	6.9	76	?	k							*	4 cm kl. Fischli ** Enten		x			Wasserpest		24	10	10	2	OL	2	1	12	Block 2: Abschnitt ab 594 000 Bachaufwärts 200m zu trübe wegen Baustelle / nur li Ufer abgesucht		15
33C	Leugene	595 300 / 223 900			z.T. bedeckt, heiss, sonnig	70% bedeckt sonst sonnig, schwül	klar	8.8.1997							4	6	100	Holz und Steine	100	Holz und Steine	4	4	15	0	65	0	20	0		0	0		15	0	65	0	20	0		0	0	0	0.3	3	1	3	5	1.75	3	0	0	20	0	0	10	70	0	0	5		4.5	0	30		0	0	70	0	15.1	7.8	595	13	135	0.2	18.10.	***							W-käfer, W- schn. **, Z.-m.-larven***, kl. Fische	x			x	Wasserfenchel		22.35	35	25	2	OL	3	0	0	1 Brüggli, z.T. schlecht Sicht, Krebse sehr träge		3
36BS	Mülibach	579 150 /210 800			100% W. , Dauernieselregen bis stärker, kalt 	80% W. mit Aufhellungen,Nieselregen, kalt	eher trocken, bedeckt	15.10.1997							1	BS	100	Sandstrand	BS	BS	1	BS	0	0	0		0	0		0	100		BS	BS	BS		BS	BS		BS	BS	BS	0.2	1	1	2	5	BS	1	70	0	0	0	0	30	0	0	0	BS		1	0	100		0	0	0	0	13.8	?	294	10.4	106	st	k														x	20.15	10	15	2	OL	0	1	0			1
42D 	Fencherengiesse	590 100 / 216 100			morgens Hochnebel, ca. 10°C ab 14 Uhr Sonne	100% W., Nieselregen, ziemlich kalt	Vollmond, klar, wärmer	17.10.1997							0.1	G	0	0	G	G	5	G	0	0	0	0	0	90		10	0		G	G	G	G	G	G		G	g	G	0.3	3	1	3	20	G	1	50	10	0	0	0	10	10	20	0	G		3	0	20		0	0	60	20	12.5	?	535	8	84	0	17.10.								Libellen in Paarung		x		x	Tausendblatt		21.25	5	5	2	OL	0	1	0			1
50BS	Twannbach	578 350 / 215 600			morgens etwas Nebel, warm, Sonne	morgens etwas Nebel, warm, Sonne	klar	30.9.1997							2	BS	100	BW	0	0	3	BS	0	10		10	0	0		0	80		BS	BS	BS	BS	BS	BS		BS	BS	BS	1	3	1	2	0	BS	3	0	30	60	0	0	10	5	0	0	BS		5	100	0		0	0	0	0	18.2	8.4	287	8.9	97	st.	k					*	***				x					21.07	7	15	2	OL	0	0	11	Sicht abends schlecht: Wellen 		11
