"isocode","isonum","country","rugged","rugged_popw","rugged_slope","rugged_lsd","rugged_pc","land_area","lat","lon","soil","desert","tropical","dist_coast","near_coast","gemstones","rgdppc_2000","rgdppc_1950_m","rgdppc_1975_m","rgdppc_2000_m","rgdppc_1950_2000_m","q_rule_law","cont_africa","cont_asia","cont_europe","cont_oceania","cont_north_america","cont_south_america","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","africa_region_n","africa_region_s","africa_region_w","africa_region_e","africa_region_c","slave_exports","dist_slavemkt_atlantic","dist_slavemkt_indian","dist_slavemkt_saharan","dist_slavemkt_redsea","pop_1400","european_descent"
"ATG",28,"Antigua and Barbuda",0.006,0.003,0.012,0.003,0,44,17.271,-61.8,100,0,100,0.001,100,0,10022.03,NA,NA,NA,NA,0.99,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,747,NA
"AUS",36,"Australia",0.143,0.183,0.405,0.045,0.685,768230,-25.733,134.487,14.248,10.889,14.68,0.336,20.9399,264154,25417.44,7411.577,13169.83,21605.334,13184.232,1.773,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,200000,89.954
"AUT",40,"Austria",3.513,1.152,11.095,1.008,54.307,8245,47.589,14.14,55.098,0,0,0.242,2.25634,0,28987.84,3706.075,11646.408,20691.416,11601.704,1.853,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1250000,98.4
"AZE",31,"Azerbaijan",1.672,0.534,5.08,0.49,27.713,8260.5,40.288,47.528,60.957,0,0,0.584,0,0,2570.944,NA,NA,2538.14,NA,-1.007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,226250,4
"BDI",108,"Burundi",1.78,1.586,4.721,0.5,27.519,2568,-3.365,29.887,24.049,0,75.354,0.906,0,0,621.652,360.142,534.858,495.977,530.763,-1.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,86.997,10.626,2.57,3.719,2.215,239693,0
"BEL",56,"Belgium",0.388,0.261,1.239,0.109,0.178,3023,50.642,4.661,48.967,0,0,0.113,45.9637,0,27302.99,5462.205,12440.785,20656.459,12223.306,1.413,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,773466,98
"BEN",204,"Benin",0.141,0.099,0.377,0.045,0.014,11062,9.65,2.339,74.973,0,97.489,0.367,10.2806,0,959.222,1083.628,969.318,1282.898,1082.474,-0.23,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,457000,5.121,9.234,2.835,3.902,348867,0
"BFA",854,"Burkina Faso",0.236,0.214,0.638,0.066,0.051,27360,12.274,-1.747,56.909,0,49.82,0.735,0,0,998.416,474.313,669.515,921.09,719.511,-0.52,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,167000,4.775,9.299,2.764,4.239,692976,0
"BGD",50,"Bangladesh",0.186,0.065,0.502,0.053,1.817,13017,23.848,90.27,41.883,0,75.038,0.071,71.3844,0,1479.086,539.544,528.607,861.7,599.122,-0.807,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,9103705,0
"BGR",100,"Bulgaria",1.479,0.711,4.498,0.427,20.196,11063,42.765,25.239,82.101,0,0,0.149,31.4395,0,5979.171,1651.031,5830.809,5349.921,4567.501,-0.16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,894427,98.85
"BHR",48,"Bahrain",0.231,0.163,0.627,0.063,0,71,26.025,50.565,0,0,0,0.002,100,0,15928.09,2104.454,3922.257,5058.844,3776.897,0.457,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,31897,0
"BHS",44,"Bahamas",0.055,0.1,0.144,0.017,0,1001,24.255,-76.61,13.924,0,100,0.003,100,0,16977.2,NA,NA,NA,NA,1.063,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1276,NA
"BIH",70,"Bosnia and Herzegovina",2.311,1.288,7.075,0.665,40.253,5120,44.175,17.784,76.888,0,0,0.117,42.7623,0,5294.975,NA,NA,5572.282,NA,-0.44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,366341,100
"BLR",112,"Belarus",0.164,0.208,0.54,0.046,0,20748,53.542,28.054,50.611,0,0,0.598,0,0,4802.11,NA,NA,6264.544,NA,-0.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,487364,100
"BLZ",84,"Belize",0.607,0.226,1.616,0.174,6.568,2281,17.205,-88.687,35.49,0,100,0.026,100,0,5869.233,NA,NA,NA,NA,0.257,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5326,39.91
"BMU",60,"Bermuda",0.015,0.014,0.03,0.006,0,5,32.31,-64.772,20,0,0,0,100,0,NA,NA,NA,NA,NA,1.255,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,601,NA
"BOL",68,"Bolivia",0.853,0.911,2.343,0.258,13.57,108438,-16.71,-64.662,31.807,0,64.878,0.655,0,0,2398.855,1919.359,2515.915,2574.755,2153.277,-0.327,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,829897,26.732
"BRA",76,"Brazil",0.24,0.25,0.654,0.076,0.558,845942,-10.775,-53.085,18.783,0,88.567,0.642,9.68309,12159,7300.865,1671.723,4189.509,5556.415,3761.573,-0.257,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,931150,74.43
"BRB",52,"Barbados",0.963,0.695,2.581,0.289,3.823,43,13.167,-59.555,30.588,0,100,0.002,100,0,15290.579,NA,NA,NA,NA,0.76,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3403,NA
"BRN",96,"Brunei Darussalam",0.52,0.134,1.366,0.162,5.089,527,4.521,114.748,62.29,0,100,0.023,100,0,NA,NA,NA,NA,NA,0.59,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2328,NA
"BTN",64,"Bhutan",6.74,4.913,19.325,1.962,96.475,4700,27.417,90.435,66.365,0,0,0.389,0,0,NA,NA,NA,NA,NA,-0.277,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,36082,0
"BWA",72,"Botswana",0.181,0.478,0.488,0.048,0.301,56673,-22.189,23.814,15.249,1.455,0,0.764,0,208687,7702.508,348.507,1223.49,4268.641,1631.317,0.58,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.686,5.765,5.857,4.3,80312,1.5
"CAF",140,"Central African Republic",0.197,0.257,0.528,0.06,0.033,62300,6.574,20.487,10.967,0,97.382,1.081,0,10802,1148.051,771.577,781.799,575.543,757.838,-1.07,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2009.941,5.642,8.772,2.84,2.293,387580,0.6
"CAN",124,"Canada",0.775,0.37,2.695,0.23,9.122,909351,61.495,-98.334,16.794,0,0,1.43,4.4433,5166,27289.26,7291.48,14316.263,22360.119,14002.496,1.757,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,174110,85.33
"CCK",166,"Cocos (Keeling) Islands",0.015,0.018,0.031,0.005,0,1,-12.122,96.867,NA,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CHE",756,"Switzerland",4.761,1.45,14.999,1.388,66.06,4000,46.806,8.226,39.341,0,0,0.278,0,0,30161.29,9063.698,17224.018,22474.859,16696.838,2.023,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,600000,98.5
"CHL",152,"Chile",2.481,0.677,7.365,0.731,38.199,74880,-37.937,-71.384,22.158,15.489,0,0.074,68.3825,0,9115.475,3669.742,4273.292,10310.834,5636.808,1.183,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,553265,59.19
"CHN",156,"China",1.878,0.708,5.493,0.537,28.648,932748,36.564,103.836,22.836,5.77,0.301,0.987,5.76513,4410,3928.315,448.022,871.181,3420.866,1268.328,-0.357,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,80943756,0
"CIV",384,"Cote d'Ivoire",0.224,0.159,0.594,0.069,0.493,31800,7.623,-5.554,26.151,0,100,0.284,16.359,3239,1575.628,1040.878,1800.013,1352.019,1536.27,-0.86,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,52645.949,4.186,9.457,3.353,4.794,435857,0
"CMR",120,"Cameroon",0.515,0.545,1.374,0.157,4.031,46540,5.697,12.743,27.829,0,94.12,0.389,10.9018,0,1882.687,670.951,1051.615,1082.339,1036.539,-1.287,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,66718.812,5.642,8.772,3.003,3.051,1317285,0
"COD",180,"Democratic Republic of the Congo",0.443,0.531,1.177,0.126,2.763,226705,-2.879,23.658,16.001,0,94.866,1.016,0.686405,87149,668.663,569.742,760.789,216.95,611.093,-2.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,767000,5.712,7.643,3.748,2.687,3593277,0.46
"COG",178,"Congo",0.152,0.411,0.406,0.049,0.243,34150,-0.831,15.246,4.063,0,100,0.457,4.83001,0,957.403,1198.207,2191.133,2005.219,1914.573,-1.413,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,94662.922,5.527,7.924,3.697,3.227,238219,0
"COK",184,"Cook Islands",0.96,0.594,2.641,0.3,14.999,24,-19.213,-158.978,25,0,100,0,100,0,NA,NA,NA,NA,NA,0.86,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"COL",170,"Colombia",0.885,0.89,2.376,0.277,14.366,110950,3.838,-72.866,30.444,0,89.763,0.379,16.7275,0,6243.656,2152.841,3622.226,5095.796,3661.919,-0.767,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,902880,45.6
"COM",174,"Comoros",3.328,2.172,9.049,1.063,64.479,186.1,-11.888,43.671,56.043,0,100,0.003,100,0,1770.218,560.305,804.062,580.913,730.933,-1.28,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10.131,1.754,4.846,2.61,0,0
"CPV",132,"Cape Verde",2.367,1.399,6.502,0.759,40.048,403,15.942,-23.981,11.663,0,0,0.004,100,0,4859.108,449.648,524.742,1776.535,809.993,0.71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.647,11.6,3.482,6.465,0,41.4
"CRI",188,"Costa Rica",2.112,1.044,5.708,0.623,36.61,5106,9.969,-84.199,52.082,0,94.017,0.031,100,0,8621.291,1963.132,4396.007,6173.734,3955.164,0.637,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,74647,60.39
"CUB",192,"Cuba",0.528,0.293,1.448,0.153,6.129,10982,21.626,-79.018,45.947,0,100,0.02,100,0,NA,2046.226,2404.287,2415.604,2334.104,-0.877,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,95479,63
"CXR",162,"Christmas Island",1.321,1.422,3.477,0.403,14.025,13.5,-10.488,105.643,NA,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CYM",136,"Cayman Islands",0.096,0.085,0.237,0.028,0,26,19.414,-80.926,100,0,100,0.001,100,0,NA,NA,NA,NA,NA,1.515,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CYP",196,"Cyprus",2.718,0.909,7.867,0.706,44.072,924,35.049,33.235,26.866,0,0,0.012,100,0,20318,NA,NA,NA,NA,0.817,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,150000,1
"CZE",203,"Czech Republic",0.884,0.578,2.845,0.252,4.154,7727,49.739,15.334,88.653,0,0,0.426,0,0,15373.23,NA,NA,9155.582,NA,0.793,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1801067,100
"DEU",276,"Germany",0.597,0.405,1.906,0.168,3.001,34877,51.11,10.392,61.338,0,0,0.246,19.7358,0,25481.43,3880.887,12040.607,18943.516,11932.706,1.71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6500000,97.6
"DJI",262,"Djibouti",2.432,0.804,6.416,0.627,39.024,2318,11.735,42.58,0,0,0,0.038,100,0,1881.967,1499.582,2065.445,1102.543,1647.355,-0.577,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.176,14.408,2.682,2.351,0.064,34822,NA
"DMA",212,"Dominica",0.003,0.008,0.005,0.001,0,75,15.427,-61.356,36.405,0,100,0.003,100,0,5931.715,NA,NA,NA,NA,0.495,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,824,NA
"DNK",208,"Denmark",0.189,0.191,0.611,0.054,0,4243,55.987,10.027,56.165,0,0,0.019,100,0,28750.61,6943.104,13621.125,22975.162,13991.603,1.837,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,600000,99.2
"DOM",214,"Dominican Republic",1.641,0.519,4.495,0.484,26.179,4838,18.895,-70.493,39.479,0,87.817,0.029,100,0,6410.803,1026.788,2111.321,3649.014,1989.486,-0.52,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,39145,52
"DZA",12,"Algeria",0.51,1.368,1.445,0.14,4.885,238174,28.168,2.647,9.59,23.277,0,0.752,4.17952,0,5417.91,1364.74,2521.953,2864.551,2389.185,-1.153,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,61834.148,6.559,14.912,0.985,3.654,1588836,0
"ECU",218,"Ecuador",1.278,0.766,3.446,0.405,20.09,27684,-1.434,-78.77,44.308,0,73.165,0.157,37.3544,0,3373.415,1862.933,3459.407,3203.386,3209.836,-0.587,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,553265,31.976
"EGY",818,"Egypt",0.723,0.274,2.001,0.186,5.764,99545,26.562,29.782,0.007,16.498,0,0.325,22.7899,0,3598.329,909.903,1420.783,2936.674,1711.68,-0.03,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1491.701,16.393,4.667,0.43,1.113,4182558,0
"ERI",232,"Eritrea",2.481,1.911,6.663,0.658,37.141,10100,15.365,38.848,20.146,1.764,0,0.104,56.1576,0,911.884,NA,NA,NA,NA,-0.307,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,133000,12.967,3.146,1.814,0.07,101512,1.9
"ESH",732,"Western Sahara",0.203,0.301,0.565,0.057,0.202,26600,24.674,-13.138,0,9.019,0,0.148,33.6288,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,4.932,12.435,2.049,5.215,2439,NA
"ESP",724,"Spain",1.689,0.81,5.062,0.472,23.372,49900,40.231,-3.644,64.134,0,0,0.131,42.9055,0,21764.83,2188.97,8346.302,15621.72,7811.794,1.333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5500000,99.24
"EST",233,"Estonia",0.123,0.188,0.414,0.035,0,4239,58.673,25.549,62.517,0,0,0.135,37.0373,0,9762.76,NA,NA,11710.01,NA,0.527,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,69282,100
"ETH",231,"Ethiopia",1.57,1.725,4.193,0.443,20.128,1e+05,8.622,39.636,46.128,1.008,29.455,0.466,2.26331,0,635.794,NA,NA,NA,NA,-0.823,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1310000,12.589,2.706,2.543,0.51,1639589,0
"FIN",246,"Finland",0.328,0.268,1.202,0.092,0.137,30459,64.481,26.24,2.097,0,0,0.324,8.79128,0,25553.88,4253.287,11441.303,19770.363,11059.542,1.897,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,100000,100
"FJI",242,"Fiji",1.396,0.582,3.723,0.421,14.011,1827,-17.447,161.988,98.293,0,100,0.009,100,0,4949.898,NA,NA,NA,NA,-0.093,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,139322,2.2
"FLK",238,"Falkland Islands (Malvinas)",0.264,0.214,0.859,0.083,0.786,1217,-51.745,-59.382,0,0,0,0.005,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"FRA",250,"France",1.098,0.496,3.406,0.313,12.07,55010,46.56,2.551,59.939,0,0,0.172,34.6184,0,25698.01,5271.312,13251.077,21025.375,12907.095,1.397,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11000000,93.4
"FRO",234,"Faeroe Islands",2.253,1.309,8.215,0.665,39.927,140,62.073,-6.885,0,0,0,0.001,100,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10000,NA
"FSM",583,"Micronesia; Federated States of",1.353,0.919,3.61,0.423,17.095,70,6.674,157.754,32.857,0,100,0,100,0,NA,NA,NA,NA,NA,-0.365,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15427,NA
"GAB",266,"Gabon",0.218,0.582,0.583,0.07,0.434,25767,-0.623,11.784,11.978,0,100,0.195,28.1246,5200,6118.662,3108.377,9405.868,3847.075,5359.929,-0.553,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,27402.172,5.531,8.367,3.703,3.529,138320,1
"GBR",826,"United Kingdom of Great Britain and Northern Ireland",0.568,0.21,1.878,0.175,3.643,24269,54.15,-2.901,48.239,0,0,0.034,96.3607,0,26332.05,6939.374,11847.087,20352.869,12332.872,1.783,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3306643,94.6
"GEO",268,"Georgia",3.659,0.859,11.258,1.067,59.17,6949,42.179,43.513,34.021,0,0,0.181,33.1835,0,1880.45,NA,NA,3243.627,NA,-1.033,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,275547,3
"GHA",288,"Ghana",0.228,0.25,0.601,0.071,0.371,22754,7.963,-1.208,65.738,0,100,0.283,19.3048,13275,1892.808,1121.794,1246.881,1269.883,1217.556,-0.297,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1610000,4.773,9.3,3.174,4.332,912300,0
"GIB",292,"Gibraltar",7.811,5.542,21.453,1.728,100,1,36.139,-5.348,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"GIN",324,"Guinea",0.74,1.03,1.969,0.213,3.952,24572,10.435,-10.939,17.761,0,100,0.263,14.9423,4864,1975.794,303.321,512.136,571.719,469.724,-1.32,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,350000,3.72,10.269,3.245,5.259,455699,0
"GLP",312,"Guadeloupe",1.188,0.533,3.23,0.359,21.296,169,16.28,-61.601,76.5,0,100,0.003,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3387,NA
"GMB",270,"Gambia",0.353,0.384,0.915,0.091,0,1000,13.447,-15.388,81.699,0,89.355,0.053,77.3706,0,1728.198,607.365,1049.606,894.813,866.362,0.1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,21730.895,3.889,10.793,3.172,5.638,51104,0.5
"GNB",624,"Guinea-Bissau",0.491,0.534,1.302,0.123,0.098,2812,12.013,-14.987,43.253,0,100,0.045,87.3195,0,782.477,289.153,925.067,680.606,707.146,-1.65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,181000,3.796,10.631,3.285,5.633,87833,3
"GNQ",226,"Equatorial Guinea",0.559,1.405,1.449,0.177,5.54,2805,1.703,10.335,6.829,0,100,0.069,69.3531,0,15189.54,539.763,1294.001,7973.103,1623.25,-1.263,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,10.5,5.577,8.556,3.462,3.515,66516,5.75
"GRC",300,"Greece",3.103,1.295,9.166,0.867,52.841,12890,39.043,22.989,48.588,0,0,0.029,96.2131,0,17391.74,1915.007,7721.514,12110.869,6959.675,0.81,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1118034,100
"GRD",308,"Grenada",2.088,1.538,5.655,0.606,39.913,34,12.157,-61.654,67.646,0,100,0.001,100,0,7536.395,NA,NA,NA,NA,0.27,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1237,NA
"GRL",304,"Greenland",0.41,0.914,1.548,0.131,4.252,217500,74.728,-41.345,0,0,0,0.867,3.50187,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10000,NA
"GTM",320,"Guatemala",1.807,1.369,4.893,0.538,30.85,10843,15.697,-90.356,58.058,0,78.376,0.099,48.2159,0,3974.407,2084.894,3683.875,4096.941,3228.048,-0.897,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,243109,21.965
"GUF",254,"French Guiana",0.205,0.254,0.546,0.065,0.109,8815,3.93,-53.233,18.394,0,100,0.125,43.0358,0,NA,NA,NA,NA,NA,0.99,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
